,yellow cab,green cab,citibike,uber,weekday
2014-09-01,20761,1906,1513,1767,Monday
2014-09-02,67409,5167,6142,4598,Tuesday
2014-09-03,69845,5239,7656,4753,Wednesday
2014-09-04,71612,6052,7737,5032,Thursday
2014-09-05,71646,5765,7491,5199,Friday
2014-09-06,37467,3202,2344,2764,Saturday
2014-09-07,30056,2512,2017,2426,Sunday
2014-09-08,66324,5657,7352,4701,Monday
2014-09-09,71130,5508,8279,4900,Tuesday
2014-09-10,71276,5761,8302,4930,Wednesday
2014-09-11,74260,5691,8065,4736,Thursday
2014-09-12,71328,5810,7820,4829,Friday
2014-09-13,37911,3590,2243,2678,Saturday
2014-09-14,32453,2639,1789,2324,Sunday
2014-09-15,66509,5656,7231,4664,Monday
2014-09-16,76290,6577,2163,6879,Tuesday
2014-09-17,71068,5683,8103,4939,Wednesday
2014-09-18,72248,5867,8072,5099,Thursday
2014-09-19,69328,5727,7521,4966,Friday
2014-09-20,37926,3430,2490,2778,Saturday
2014-09-21,31469,2540,1805,2234,Sunday
2014-09-22,60974,5476,7524,4479,Monday
2014-09-23,64106,5641,8048,4454,Tuesday
2014-09-24,65039,5579,8101,4537,Wednesday
2014-09-25,64620,5987,1806,7013,Thursday
2014-09-26,60293,5008,6933,4116,Friday
2014-09-27,37867,3384,2484,2659,Saturday
2014-09-28,30715,2603,1960,2395,Sunday
2014-09-29,59351,5763,7361,4870,Monday
2014-09-30,69489,5890,7916,5187,Tuesday
